name,square,circle,triangle
hackthoon308train00000,1,1,0
hackthoon308train00001,1,0,0
hackthoon308train00002,1,1,0
hackthoon308train00003,0,1,0
hackthoon308train00004,1,0,1
hackthoon308train00005,1,0,1
hackthoon308train00006,0,1,1
hackthoon308train00007,1,1,1
hackthoon308train00008,1,1,1
hackthoon308train00009,0,1,1
hackthoon308train00010,0,1,1
hackthoon308train00011,1,1,0
hackthoon308train00012,0,1,0
hackthoon308train00013,0,1,1
hackthoon308train00014,1,1,0
hackthoon308train00015,1,1,1
hackthoon308train00016,0,1,1
hackthoon308train00017,0,1,0
hackthoon308train00018,0,1,1
hackthoon308train00019,1,1,0
hackthoon308train00020,1,0,1
hackthoon308train00021,1,1,0
hackthoon308train00022,1,1,1
hackthoon308train00023,1,1,0
hackthoon308train00024,1,0,1
hackthoon308train00025,1,1,0
hackthoon308train00026,0,1,1
hackthoon308train00027,1,0,1
hackthoon308train00028,0,0,1
hackthoon308train00029,0,1,1
hackthoon308train00030,0,1,1
hackthoon308train00031,1,1,0
hackthoon308train00032,0,1,1
hackthoon308train00033,0,1,1
hackthoon308train00034,0,1,1
hackthoon308train00035,1,0,1
hackthoon308train00036,0,1,1
hackthoon308train00037,1,1,1
hackthoon308train00038,1,1,1
hackthoon308train00039,1,0,1
hackthoon308train00040,1,1,0
hackthoon308train00041,0,1,0
hackthoon308train00042,1,1,0
hackthoon308train00043,1,0,1
hackthoon308train00044,0,1,1
hackthoon308train00045,1,0,1
hackthoon308train00046,1,1,1
hackthoon308train00047,1,1,1
hackthoon308train00048,1,0,1
hackthoon308train00049,1,0,1
hackthoon308train00050,1,1,0
hackthoon308train00051,0,0,1
hackthoon308train00052,1,1,0
hackthoon308train00053,0,1,1
hackthoon308train00054,1,0,1
hackthoon308train00055,1,0,1
hackthoon308train00056,1,1,0
hackthoon308train00057,1,1,1
hackthoon308train00058,0,1,1
hackthoon308train00059,0,0,1
hackthoon308train00060,1,1,1
hackthoon308train00061,1,1,0
hackthoon308train00062,1,1,1
hackthoon308train00063,1,0,0
hackthoon308train00064,1,1,1
hackthoon308train00065,1,0,1
hackthoon308train00066,0,1,1
hackthoon308train00067,1,0,1
hackthoon308train00068,1,1,0
hackthoon308train00069,1,1,1
hackthoon308train00070,1,1,0
hackthoon308train00071,1,0,1
hackthoon308train00072,1,0,1
hackthoon308train00073,1,1,1
hackthoon308train00074,0,1,1
hackthoon308train00075,1,1,1
hackthoon308train00076,1,0,1
hackthoon308train00077,1,0,1
hackthoon308train00078,0,1,1
hackthoon308train00079,1,1,0
hackthoon308train00080,1,1,0
hackthoon308train00081,1,1,0
hackthoon308train00082,0,1,0
hackthoon308train00083,1,1,0
hackthoon308train00084,0,1,1
hackthoon308train00085,1,0,1
hackthoon308train00086,1,1,0
hackthoon308train00087,0,0,1
hackthoon308train00088,0,1,1
hackthoon308train00089,1,1,1
hackthoon308train00090,1,1,1
hackthoon308train00091,1,1,1
hackthoon308train00092,0,1,1
hackthoon308train00093,0,1,1
hackthoon308train00094,1,0,1
hackthoon308train00095,1,0,1
hackthoon308train00096,1,1,1
hackthoon308train00097,1,0,1
hackthoon308train00098,0,1,1
hackthoon308train00099,1,0,0
hackthoon308train00100,0,1,1
hackthoon308train00101,0,1,1
hackthoon308train00102,0,1,1
hackthoon308train00103,1,1,0
hackthoon308train00104,1,1,1
hackthoon308train00105,1,1,1
hackthoon308train00106,0,1,1
hackthoon308train00107,1,1,0
hackthoon308train00108,1,0,1
hackthoon308train00109,1,0,1
hackthoon308train00110,0,1,1
hackthoon308train00111,1,1,1
hackthoon308train00112,1,1,0
hackthoon308train00113,1,1,0
hackthoon308train00114,0,1,0
hackthoon308train00115,1,0,1
hackthoon308train00116,1,0,1
hackthoon308train00117,1,1,0
hackthoon308train00118,1,1,0
hackthoon308train00119,1,1,1
hackthoon308train00120,1,1,1
hackthoon308train00121,0,1,1
hackthoon308train00122,1,1,1
hackthoon308train00123,1,0,1
hackthoon308train00124,1,0,1
hackthoon308train00125,0,0,1
hackthoon308train00126,1,0,1
hackthoon308train00127,1,0,1
hackthoon308train00128,1,1,1
hackthoon308train00129,0,1,1
hackthoon308train00130,1,1,1
hackthoon308train00131,1,1,0
hackthoon308train00132,1,1,1
hackthoon308train00133,1,0,1
hackthoon308train00134,1,1,0
hackthoon308train00135,0,1,0
hackthoon308train00136,0,0,1
hackthoon308train00137,0,1,1
hackthoon308train00138,1,1,0
hackthoon308train00139,0,1,1
hackthoon308train00140,1,1,0
hackthoon308train00141,1,1,0
hackthoon308train00142,1,1,1
hackthoon308train00143,1,1,1
hackthoon308train00144,1,0,1
hackthoon308train00145,0,1,1
hackthoon308train00146,0,1,1
hackthoon308train00147,1,1,0
hackthoon308train00148,1,0,1
hackthoon308train00149,0,1,1
hackthoon308train00150,0,1,1
hackthoon308train00151,1,0,1
hackthoon308train00152,1,0,1
hackthoon308train00153,1,1,1
hackthoon308train00154,1,0,1
hackthoon308train00155,1,1,0
hackthoon308train00156,1,1,1
hackthoon308train00157,1,1,0
hackthoon308train00158,0,1,1
hackthoon308train00159,1,1,0
hackthoon308train00160,0,1,1
hackthoon308train00161,0,1,1
hackthoon308train00162,1,0,1
hackthoon308train00163,0,1,1
hackthoon308train00164,1,0,1
hackthoon308train00165,0,1,1
hackthoon308train00166,1,0,1
hackthoon308train00167,0,1,1
hackthoon308train00168,1,0,1
hackthoon308train00169,0,1,0
hackthoon308train00170,1,0,1
hackthoon308train00171,0,1,1
hackthoon308train00172,0,1,1
hackthoon308train00173,1,1,1
hackthoon308train00174,1,1,1
hackthoon308train00175,1,1,0
hackthoon308train00176,1,1,1
hackthoon308train00177,1,1,1
hackthoon308train00178,1,1,0
hackthoon308train00179,1,1,0
hackthoon308train00180,1,1,0
hackthoon308train00181,0,1,0
hackthoon308train00182,0,1,1
hackthoon308train00183,1,1,1
hackthoon308train00184,0,1,1
hackthoon308train00185,1,0,1
hackthoon308train00186,1,0,1
hackthoon308train00187,1,1,1
hackthoon308train00188,1,1,0
hackthoon308train00189,1,0,1
hackthoon308train00190,0,1,1
hackthoon308train00191,0,1,1
hackthoon308train00192,1,1,1
hackthoon308train00193,1,0,1
hackthoon308train00194,1,1,1
hackthoon308train00195,1,1,0
hackthoon308train00196,1,0,1
hackthoon308train00197,1,0,1
hackthoon308train00198,1,1,1
hackthoon308train00199,1,1,1
hackthoon308train00200,0,1,1
hackthoon308train00201,1,1,0
hackthoon308train00202,0,1,1
hackthoon308train00203,1,1,1
hackthoon308train00204,1,1,1
hackthoon308train00205,1,1,1
hackthoon308train00206,0,1,1
hackthoon308train00207,1,1,1
hackthoon308train00208,1,1,1
hackthoon308train00209,1,1,0
hackthoon308train00210,1,0,1
hackthoon308train00211,1,1,1
hackthoon308train00212,0,1,1
hackthoon308train00213,1,0,1
hackthoon308train00214,1,1,0
hackthoon308train00215,1,1,1
hackthoon308train00216,1,0,1
hackthoon308train00217,1,1,0
hackthoon308train00218,0,1,1
hackthoon308train00219,1,1,0
hackthoon308train00220,1,1,1
hackthoon308train00221,0,1,1
hackthoon308train00222,1,0,1
hackthoon308train00223,1,1,1
hackthoon308train00224,0,1,1
hackthoon308train00225,0,0,1
hackthoon308train00226,1,0,1
hackthoon308train00227,1,1,1
hackthoon308train00228,0,1,1
hackthoon308train00229,1,0,1
hackthoon308train00230,1,0,1
hackthoon308train00231,1,1,1
hackthoon308train00232,1,1,1
hackthoon308train00233,1,1,1
hackthoon308train00234,0,1,1
hackthoon308train00235,1,1,0
hackthoon308train00236,1,1,0
hackthoon308train00237,0,1,1
hackthoon308train00238,1,0,1
hackthoon308train00239,1,1,1
hackthoon308train00240,0,1,1
hackthoon308train00241,0,1,1
hackthoon308train00242,1,0,1
hackthoon308train00243,1,0,1
hackthoon308train00244,0,1,1
hackthoon308train00245,1,1,1
hackthoon308train00246,1,1,0
hackthoon308train00247,1,1,1
hackthoon308train00248,1,0,1
hackthoon308train00249,1,0,1
hackthoon308train00250,0,1,1
hackthoon308train00251,1,0,1
hackthoon308train00252,0,1,0
hackthoon308train00253,1,0,1
hackthoon308train00254,0,1,1
hackthoon308train00255,1,0,1
hackthoon308train00256,0,1,1
hackthoon308train00257,1,1,1
hackthoon308train00258,1,1,0
hackthoon308train00259,0,1,0
hackthoon308train00260,0,1,1
hackthoon308train00261,1,0,0
hackthoon308train00262,1,1,1
hackthoon308train00263,1,1,1
hackthoon308train00264,0,1,1
hackthoon308train00265,1,1,0
hackthoon308train00266,0,1,1
hackthoon308train00267,0,1,1
hackthoon308train00268,1,1,0
hackthoon308train00269,1,0,1
hackthoon308train00270,0,1,1
hackthoon308train00271,1,1,0
hackthoon308train00272,1,1,1
hackthoon308train00273,1,1,1
hackthoon308train00274,0,1,1
hackthoon308train00275,1,1,0
hackthoon308train00276,0,1,1
hackthoon308train00277,1,1,1
hackthoon308train00278,1,0,1
hackthoon308train00279,1,1,1
hackthoon308train00280,1,1,1
hackthoon308train00281,1,1,0
hackthoon308train00282,0,1,1
hackthoon308train00283,0,1,0
hackthoon308train00284,1,1,1
hackthoon308train00285,1,0,1
hackthoon308train00286,1,1,0
hackthoon308train00287,0,1,1
hackthoon308train00288,0,1,1
hackthoon308train00289,1,0,1
hackthoon308train00290,0,1,1
hackthoon308train00291,1,1,1
hackthoon308train00292,0,1,0
hackthoon308train00293,1,0,0
hackthoon308train00294,1,1,1
hackthoon308train00295,1,0,0
hackthoon308train00296,1,1,0
hackthoon308train00297,1,0,1
hackthoon308train00298,1,0,0
hackthoon308train00299,0,1,1
hackthoon308train00300,1,1,0
hackthoon308train00301,0,1,1
hackthoon308train00302,1,1,0
hackthoon308train00303,0,1,1
hackthoon308train00304,1,0,1
hackthoon308train00305,1,1,1
hackthoon308train00306,1,0,1
hackthoon308train00307,1,1,0
hackthoon308train00308,1,0,1
hackthoon308train00309,0,1,1
hackthoon308train00310,1,1,0
hackthoon308train00311,1,1,0
hackthoon308train00312,0,1,1
hackthoon308train00313,1,1,0
hackthoon308train00314,0,1,1
hackthoon308train00315,1,0,1
hackthoon308train00316,0,0,1
hackthoon308train00317,0,1,0
hackthoon308train00318,1,0,1
hackthoon308train00319,1,1,1
hackthoon308train00320,0,1,1
hackthoon308train00321,1,1,1
hackthoon308train00322,1,0,1
hackthoon308train00323,1,1,1
hackthoon308train00324,0,1,1
hackthoon308train00325,0,1,0
hackthoon308train00326,0,1,1
hackthoon308train00327,1,0,0
hackthoon308train00328,0,1,1
hackthoon308train00329,0,1,1
hackthoon308train00330,1,1,1
hackthoon308train00331,1,1,0
hackthoon308train00332,1,1,0
hackthoon308train00333,1,0,1
hackthoon308train00334,0,1,1
hackthoon308train00335,0,1,1
hackthoon308train00336,1,0,1
hackthoon308train00337,0,1,1
hackthoon308train00338,0,1,1
hackthoon308train00339,1,0,1
hackthoon308train00340,0,1,1
hackthoon308train00341,0,1,1
hackthoon308train00342,1,1,1
hackthoon308train00343,0,1,1
hackthoon308train00344,1,1,1
hackthoon308train00345,0,1,0
hackthoon308train00346,0,1,1
hackthoon308train00347,1,1,0
hackthoon308train00348,1,1,0
hackthoon308train00349,0,1,1
hackthoon308train00350,0,1,1
hackthoon308train00351,1,1,0
hackthoon308train00352,0,1,0
hackthoon308train00353,1,1,0
hackthoon308train00354,1,1,0
hackthoon308train00355,1,1,1
hackthoon308train00356,0,1,1
hackthoon308train00357,0,1,1
hackthoon308train00358,0,1,1
hackthoon308train00359,1,1,0
hackthoon308train00360,0,1,1
hackthoon308train00361,1,0,1
hackthoon308train00362,0,1,1
hackthoon308train00363,1,1,0
hackthoon308train00364,0,1,1
hackthoon308train00365,1,1,1
hackthoon308train00366,1,0,1
hackthoon308train00367,1,0,1
hackthoon308train00368,1,0,1
hackthoon308train00369,1,0,1
hackthoon308train00370,1,1,1
hackthoon308train00371,0,1,1
hackthoon308train00372,1,1,0
hackthoon308train00373,1,1,0
hackthoon308train00374,1,1,0
hackthoon308train00375,1,1,0
hackthoon308train00376,1,1,1
hackthoon308train00377,1,1,1
hackthoon308train00378,1,1,1
hackthoon308train00379,1,1,0
hackthoon308train00380,0,0,1
hackthoon308train00381,1,1,1
hackthoon308train00382,1,1,1
